;Rendement
571;0.013460608203018865
572;-0.02913810766159216
573;-0.019174920841909825
574;0.05552898972190647
575;0.048149090719436176
576;0.0178511154711731
577;0.0015116002631930315
578;0.02681793280693384
579;0.07112236801956101
580;-0.04060355653887868
581;0.031193983956723913
582;-0.019200416277960385
583;0.03576606388567598
584;-0.02185963452981028
585;0.04102178667548159
586;0.0175220723862202
587;0.0852252324295091
588;-0.025419193311952314
589;0.014764722926229155
590;-0.0062818448283911725
591;-0.01289580606749965
592;0.09594610269469413
593;0.04650543508316332
594;-0.0036596961699567033
595;0.08904556884826874
596;-0.004556616948042063
597;0.0272856042832575
598;-0.03478515874531368
599;0.023790193427318373
600;-0.022051791263117338
601;0.03816342498959173
602;0.030659186159454066
603;0.05232897233274201
604;-0.004557980807833388
605;0.0835382673432494
606;0.06004148567052112
607;0.03058042200445172
608;-0.03804236933784424
609;0.016422896428768326
610;0.052521500771815395
611;0.09744437617849996
612;-0.009159816884895946
613;0.05062859591775279
614;0.004127661603606328
615;0.09389553715982686
616;0.0507479022299286
617;-0.02073133594151443
618;-0.037413216372378884
619;0.0394378236198267
620;0.028507562461783494
621;-0.04612128451954817
622;0.056636506788155856
623;-0.0215298992485738
624;-0.003256990327463143
625;0.0793239087555375
626;0.03323212630579306
627;0.0016059704260551655
628;0.06953782605092712
629;0.014802895781451185
630;0.07857681844561853
631;-0.024853771006715136
632;0.10360057269336152
633;0.08401142552032013
634;-0.12627019736393946
635;0.026525323894474723
636;0.04551467992935485
637;0.04667252675807759
638;0.054853665236346674
639;-0.06439295339427971
640;-0.015563619029870494
641;0.017768083390327972
642;0.012634762774150375
643;-0.018048953021530423
644;-0.0110038763160874
645;0.08029304465911992
646;-0.008446724002243968
647;0.010486057377815996
648;0.0291026487755353
649;-0.015821236191186756
650;-0.028043268264086832
651;0.11549947838631965
652;-0.028956564255778687
653;0.024183710447608177
654;0.03060460487573607
655;-0.03591686236801508
656;0.01281263565382389
657;-0.026583768502099474
658;0.011950176678547279
659;0.03851887530146243
660;0.05070780454976329
661;0.015922959515962704
662;0.04969464754742532
663;-0.026979612049011337
664;-0.05180641139954005
665;-0.046970626643120426
666;0.10381133431304804
667;-0.046449544359226
668;-0.03025833056923702
669;0.025262523336408976
670;-0.005447614312963509
671;-0.006236936365098273
672;-0.0789484073528358
673;-0.06560356485903568
674;-0.007073536623913128
675;-0.05986946999721681
676;-0.015421111445953244
677;-0.007368870592663938
678;-0.03645991880705097
679;0.016307759305150854
680;0.04863354747768781
681;-0.044426207137472744
682;0.06499361310168865
683;-0.018238274891913306
684;0.031200116303142806
685;0.07831268501713468
686;0.047303122371839236
687;-0.0013126027877842716
688;0.029586763047431786
689;0.011340492029927844
690;-0.06125783184156859
691;0.04691794263609623
692;0.052103338603437944
693;0.06306151744762162
694;0.06967378385690637
695;-0.003560341557393798
696;-0.013674973563940682
697;-0.027958299052659612
698;-0.06606609622066202
699;0.010629616030057605
700;0.009894454247185536
701;0.05962024364358598
702;0.11173387005878027
703;0.012191768329752363
704;-0.0481868750835595
705;0.01995792253145723
706;0.11205143067428054
707;-0.04632744060777341
708;-0.026565232277297214
709;-0.06667075388012918
710;-0.015991309104190065
711;0.08848540318214333
712;-0.03270739526003965
713;0.02757043486067488
714;-0.03654274089135186
715;0.07237931200430808
716;0.10048141005043831
717;0.006990475369884166
718;0.19196930585990488
719;0.031391883681339154
720;-0.030818416761490396
721;0.029286566125774415
722;0.023692737407094596
723;0.05803756087743921
724;-0.037140228503710945
725;0.021938574020270635
726;0.03260949491833287
727;0.06668606808117133
728;0.05424147958069497
729;0.02250694209113618
730;-0.04519335416217359
731;-0.07091376277849804
732;0.07943067344704162
733;0.05507300207832927
734;0.0020602164723395335
735;0.056213159350294147
736;-0.018284372534915435
737;0.06041602194762191
738;0.061219214132991626
739;0.011704264568909366
740;0.042342283120829764
741;0.007606712830635587
742;-0.003936476500826558
743;-0.021325925702853254
744;-0.02391244000823889
745;0.01667662168629931
746;-0.01381309829821646
747;-0.008341694923794734
748;-0.002584187189062561
749;0.0493146663486479
750;0.012684647070751539
751;0.05706191631886497
752;-0.0029499316872174577
753;0.07602427633498593
754;-0.02280213258755012
755;0.012196950213931643
756;0.06135605499206264
757;0.03590439531453597
758;-0.1212692519256025
759;-0.0356514416854229
760;0.07588715987751925
761;0.06250441617016662
762;0.06459241125591846
763;0.03229841036448192
764;0.06320807254439728
765;-0.016853761597250667
766;-0.014899456025024875
767;0.04535963458753955
768;-0.06678956104799567
769;0.02230633095677021
770;0.019537143315374123
771;0.16057462210303924
772;0.06632432789005137
773;0.043468802404793366
774;-0.06697380349952767
775;0.03227083485669894
776;0.05632077539769711
777;0.02204563982285805
778;0.00710336703787533
779;-0.008125173416569424
780;-0.006106920880743445
781;0.016359637026120026
782;0.0766156994219483
783;-0.05384558546470004
784;0.07730813281747856
785;0.07952736682612055
786;-0.017297734073265614
787;0.0072931401236434115
788;0.0024434519112541864
789;0.0489381892956979
790;-0.057878911578273746
791;-0.01357203602064999
792;0.025757119152785463
793;0.06770942315786968
794;-0.03869485288626464
795;-0.056750435792639
796;0.020709819825312364
797;0.07678412577408068
798;-0.04034461070154464
799;0.07018194487629699
800;-0.02632349015709863
801;-0.015133516495710637
802;0.04805317162435259
803;0.0019401923115285058
804;-0.019433164272382442
805;0.025571743763936467
806;-0.05320417982496281
807;0.010522497512108374
808;0.005188503497692381
809;-0.016581231028019942
810;0.01056537822188247
811;0.006033159512917052
812;0.0010775712132449656
813;0.044790108391048876
814;0.006537268983492623
815;-0.05612180965244022
816;0.10832805416577031
817;0.1091310863440414
818;0.005951358717702675
819;0.0062020707892010305
820;-0.026528455206772463
821;-0.006282108477728343
822;0.07827909328046288
823;-0.00949644546507784
824;-0.005254543202926243
825;0.02851052921604122
826;-0.02574170254960194
827;0.0018507359765702347
828;0.04233100682295501
829;-0.007362566367341259
830;0.0121625798738026
831;0.003935989645711117
832;0.055195209859384
833;0.01881469149481234
834;-0.06483380516427957
835;0.09472868450420975
836;0.08788836932793771
837;0.03352090909993507
838;0.042079199951920575
839;0.043643321573034084
840;-0.03891083735362457
841;0.06240241583147863
842;-0.09768774156077811
843;0.04968476362233659
844;0.020853556938136536
845;0.09620393792429624
846;-0.022187214452595753
847;-0.01675785694824697
848;-0.02289397886922245
849;0.021513472790023514
850;0.06716319475095858
851;0.03285109032769256
852;-0.011175481268494849
853;-0.09822743660556937
854;0.036827584044664546
855;0.05415782571209334
856;-0.007839685825086918
857;-0.03688543264316323
858;0.042143719563287906
859;0.04062804019010585
860;0.010302245442514534
861;-0.0064527687488048005
862;0.08734868812599857
863;0.017174678260447395
864;0.041683084389648004
865;0.1029021357473441
866;-0.01361162654168723
867;0.028661654248738556
868;-0.012829862670477752
869;0.0996562937540419
870;0.053222465933325795
871;-0.017240239488720163
872;-0.011108175264595132
873;0.06088684361525892
874;0.08092460735386169
875;-0.05044938474326116
876;0.04136404457443007
877;-0.05627631302699797
878;-0.02116032307232146
879;-0.0141881694847757
880;-0.009286019672313302
881;0.046581417641113065
882;-0.01060649273681733
883;0.010085234485851942
884;0.06710625959243145
885;-0.005413139920848948
886;0.07612833583513705
887;0.06854584809064605
888;0.0934840695355625
889;0.018621213272756593
890;0.05212795767138246
891;0.06566574830022233
892;-0.046468887437238635
893;0.004088158083974491
894;0.017724809362492808
895;0.005943642760634731
896;-0.054040847210153516
897;-0.01915394057984045
898;0.04022165080012186
899;0.01422704032282354
900;0.012232761642564326
901;-0.011209738955778476
902;0.029724663371716958
903;0.031825247488945364
904;0.023764007327163057
905;0.13723251878660747
